Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of Incident,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Organisation Affected,Programme Focus,Aid Workers Killed,Aid Workers Injured,Aid Workers Kidnapped,Aid Workers Arrested,Known Kidnapping or Arrest Outcome,Aid Workers Killed in Captivity,International Aid Workers Killed,International Aid Workers Killed in Captivity,National Aid Workers Killed,National Aid Workers Killed in Captivity,Female Aid Workers Killed,Female Aid Workers Killed in Captivity,Male Aid Workers Killed,Male Aid Workers Killed in Captivity,International Aid Workers Injured,National Aid Workers Injured,Female Aid Workers Injured,Male Aid Workers Injured,International Aid Workers Kidnapped,National Aid Workers Kidnapped,Female Aid Workers Kidnapped,Male Aid Workers Kidnapped,International Aid Workers Arrested,National Aid Workers Arrested,Female Aid Workers Arrested,Male Aid Workers Arrested,SiND Event ID
2023-03-16,March 2023: Two volunteers were injured by a Russian rocket while transporting humanitarian aid and then evacuated to hospital. One later died in hospital.  ,Ukraine,UKR,Donetsk Oblast,48.5,37.8,(2) 25 km Precision ,Road,Foreign Forces: Military,Armed Forces of the Russian Federation,Rocket,NGO,Multiple,0,2,0,0,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,37800
2023-03-15,"March 2023: A male volunteer was fatally shot by two suspected gunmen. Police have since held a Rohingya man for his suspected role in the murder, whilst searching for the other perpetrator.",Bangladesh,BGD,Chattogram Division,21.1,92.1,(2) 25 km Precision ,Project site,NSA,Unidentified armed actor,Firearms,NGO,Protection,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38233
2023-03-15,"15 March 2023: Bandalungwa. ACTED staff arbitrarily detained following a RTA, in which the staff was not the driver. ",DRC,COD,Kinshasa,-4.3,15.2,(2) 25 km Precision ,Road,Police,Burkina Faso National Police,Firearms,INGO,Economic,0,0,0,1,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45139
2023-03-14,March 2023: An INGO aid worker was injured when a group around 15 former students/beneficiaries threw stones at the team due to the delay of the grants and the certificates. ,South Sudan,SSD,Western Bahr el Ghazal State,7.7,27.9,"(3) District, Communicipality or Commune ",Compound or Office Building,Camp Resident,Beneficiaries,"Stones, Sticks and Gravel",INGO,Education,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45638
2023-03-12,March 2023: A national INGO aid worker was kidnapped at his house by unidentified perpetrators. He was released on March 14th.,Haiti,HTI,West,18.5,-72.3,(2) 25 km Precision ,Home,No Information,Unidentified armed actor,Firearms,INGO,No information,0,0,1,0,Freed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,38473
2023-03-11,March 2023: Two INGO aid workers were ambushed and kidnapped by unidentified perpetrators when returning from a food distribution. ,DRC,COD,South Kivu,-4.3,29.0,(2) 25 km Precision ,Road,NSA,Unidentified armed actor,Firearms,INGO,Hunger,0,0,2,0,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,38095
2023-03-09,March 2023: Three INGO staff were arrested and detained for several hours by the Sebha Criminal Investigation Department.,Libya,LBY,Sabha,27.0,14.4,(2) 25 km Precision ,Compound or Office Building,Police,Security Forces (Libya),Firearms,"INGO, NGO, UN Agency",Multiple,0,0,0,5,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,40708
2023-03-07,March 2023: A female caregiver was wounded by a bullet and a health worker shot at during an attack on a medical facility emergency room by an armed individual.,South Sudan,SSD,Jonglei,9.0,30.8,(2) 25 km Precision ,Health Building,NSA,Unidentified armed actor,Firearms,INGO,Health,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,38214
2023-03-05,March 2023: A national NGO aid worker was injured in an armed robbery when returning home after a night out. Three UNSMS staff were also robbed. ,Guinea Bissau,GNB,Bissau Autonomous Sector,11.8,-15.5,(2) 25 km Precision ,Road,NSA,Unidentified armed actor,Firearms,"NGO, UN Agency",Multiple,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38456
2023-03-04,March 2023: Two ICRC employees were kidnapped and released two weeks later by unidentified perpetrators.,Mali,MLI,Kidal,18.0,0.5,"(4) Province, State, Governorate ",No information,No Information,Unidentified armed actor,Firearms,Red Cross (ICRC/IFRC),Multiple,0,0,2,0,Freed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37922
2023-03-04,March 2023: An aid worker who had participated in the delivery of aid convoys to the areas impacted by the 6/2/2023 earthquake and another person were detained by Asayish members.,Syria,SYR,Aleppo Governorate,36.6,38.2,(2) 25 km Precision ,Road,Police,Asayish,Firearms,NGO,No information,0,0,0,1,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38255
2023-03-01,March 2023: An INGO-contracted driver and his assistant were injured when their vehicle was ambushed and shot by unidentified perpetrators. ,South Sudan,SSD,Jonglei,7.5,31.4,(2) 25 km Precision ,Road,NSA,Unidentified armed actor,Firearms,INGO,No information,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,38466
