SiND Event ID,Date,Country,Country ISO,Admin 1,Latitude,Longitude,Event Description,Reported Perpetrator,Reported Perpetrator Name,Aid Workers Killed,Aid Workers Injured,Aid Workers Kidnapped,Aid Workers Arrested,Sector Affected,Launch Type,Type of SV,Survivor Or Victim Sex,Adult or Minor ,dataset
4164,2020-01-08,Mozambique,MOZ,Sofala Province,-18.9,35.0,"January 2020: An INGO aid worker was robbed and beaten by two men with bladed weapons who stole his wallet, phone, raincoat and shoes. ",Criminal,Criminal,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
9045,2020-04-21,Mozambique,MOZ,Zambezia Province,-16.8,36.9,April 2020: An INGO aid worker was attacked and injured with a machete by a former beneficiary in a case of mistaken identity.,Camp Resident,Beneficiaries,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
19019,2024-05-19T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"19 May 2024: A school was hit in an Israeli airstrike, killing seven Palestinians.
",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Education'],['Air-Launched: Plane'],,,,['weapons']
19040,2024-05-21T00:00:00.000Z,Ukraine,UKR,Kharkiv Oblast,50.2,35.9,21 May 2024: A kindergarten and a market were hit by Russian forces shelling.,Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Education'],['Ground-Launched'],,,,['weapons']
19043,2024-05-16T00:00:00.000Z,Ukraine,UKR,Kherson Oblast,46.6,32.6,"16 May 2024: An educational facility and homes were hit by suspected Russian airstrikes.
",Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Education'],['Air-Launched: Plane'],,,,['weapons']
19054,2024-05-14T00:00:00.000Z,Ukraine,UKR,Kharkiv Oblast,49.9,36.2,14 May 2024: A school and homes were damaged amid repeated suspected Russian airstrikes.,Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Education'],['Air-Launched: Plane'],,,,['weapons']
19079,2024-05-13T00:00:00.000Z,Ukraine,UKR,Kherson Oblast,46.6,32.6,13 May 2024: A school was damaged in Russian forces shelling.,Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Education'],['Ground-Launched'],,,,['weapons']
19080,2024-05-09T00:00:00.000Z,Ukraine,UKR,Kherson Oblast,46.8,33.4,09 May 2024: A school was destroyed when it was hit by Russian forces airstrikes using two glide air bombs.,Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Education'],['Air-Launched: Plane'],,,,['weapons']
19111,2024-05-08T00:00:00.000Z,Ukraine,UKR,Kharkiv Oblast,49.9,36.2,08 May 2024: A school stadium was hit and damaged by a Russian airstrike. At least four children and three adults were injured.,Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Education'],['Air-Launched: Plane'],,,,['weapons']
19166,2024-05-02T00:00:00.000Z,Ukraine,UKR,Kharkiv Oblast,49.8,36.3,"02 May 2024: A training centre was hit in an airstrike of an unidentified source, causing an unspecified number of casualties amongst mostly children attending sports classes.",No Information,Unidentified Armed Actor,0.0,0.0,0.0,0.0,['Education'],['Air-Launched: Plane'],,,,['weapons']
19251,2024-05-15T00:00:00.000Z,Sudan,SDN,North Darfur State,13.6,25.3,"May 2024: A school was hit by RSF shelling, killing and injuring an unspecified number of people.",Vigilante,Rapid Support Forces,0.0,0.0,0.0,0.0,['Education'],['Ground-Launched'],,,,['weapons']
20459,2024-05-12T00:00:00.000Z,Ethiopia,ETH,Amhara Region,9.8,39.7,May 2024: A high school was attacked by Ethiopian government forces. An unspecified number of people were killed and injured.,Other,Ethiopian National Defense Forces,0.0,0.0,0.0,0.0,['Education'],['Air-Launched: Drone'],,,,['weapons']
20460,2024-05-12T00:00:00.000Z,Ethiopia,ETH,Amhara Region,9.7,39.5,May 2024: A school was hit by an Ethiopian government forces drone strike during a meeting organised by the Parents educators Association (PTA). Four people were killed and five injured.,Other,Ethiopian National Defense Forces,0.0,0.0,0.0,0.0,['Education'],['Air-Launched: Drone'],,,,['weapons']
24102,2020-01-20,CAR,CAF,Ouaka,6.6,20.8,January 2020: A national LNGO aid worker was shot and injured in an ambush on their NGO vehicle by unidentified armed perpetrators.,NSA,Unidentified armed actor,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24103,2020-01-13,DRC,COD,Ituri,1.5,28.7,"January 2020: 18 volunteers were attacked by armed local community members whilst they were performing a burial service, injuring four. Attacked after rumours about organs being removed from the deceased. ",Community Member,Local population,0.0,4.0,0.0,0.0,[],[],,,,['aid_workers']
24104,2020-01-13,Mali,MLI,Mopti,15.1,-3.0,"January 2020: Two LNGO aid workers were kidnapped and later released by unidentified gunmen. Their vehicle, phones and other belongings were also seized.",NSA,Unidentified armed actor,0.0,0.0,2.0,0.0,[],[],,,,['aid_workers']
24115,2020-01-13,South Sudan,SSD,Central Equatoria,4.8,31.6,January 2020: A UN Ugandan male truck driver was beaten and robbed when his convoy was attacked. The convoy of 24 trucks was travelling from Juba to Warrap when unidentified armed men ambushed the trucks.,NSA,Unidentified armed actor,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24116,2020-01-15,South Sudan,SSD,Central Equatoria,4.8,31.6,"January 2020: A national INGO aid worker was injured after criminals attempted to steal their backpack, forcing them off their moving motorbike. ",Criminal,Criminal,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24117,2020-01-17,South Sudan,SSD,Unity,9.1,29.9,"January 2020: A LNGO staff member was seriously injured when a group of armed men attacked a clinic. Reportedly, the suspected motive was a revenge killing.",NSA,Unidentified armed actor,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24118,2020-01-29,South Sudan,SSD,Lakes,6.8,29.6,January 2020: A 10-truck INGO convoy was ambushed and fired upon by unidentified armed men. One aid worker was shot in the leg while the other staff members were able to escape on foot.,NSA,Unidentified armed actor,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24119,2020-01-15,Afghanistan,AFG,Nangarhar Province,34.2,70.1,January 2020: A volunteer was arrested and two civilians were killed during a raid by Afghan and US forces.,Host Government: Military,Afghan National Security Forces,0.0,0.0,0.0,1.0,[],[],,,,['aid_workers']
24120,2020-01-03,Bangladesh,BGD,Dhaka Division,23.5,89.8,January 2020: A female NGO aid worker was killed by unidentified perpetrators. Her body was later found in a sugarcane field.,No Information,Unidentified armed actor,1.0,0.0,0.0,0.0,[],[],,,,['aid_workers']
24121,2020-01-02,Kyrgyzstan,KGZ,Razzakov St,42.8,74.6,January 2020: A female national UN staff member was injured when an intoxicated individual at a cafÃ© hit her on her head. ,No Information,Unidentified armed actor,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24122,2020-01-08T00:00:00.000Z,Iraq,IRQ,No Information,33.0,43.0,"January 2020: Heightened security concerns, road checkpoints and travel difficulties caused by Iranian missile attacks on US military bases in Iraq in retaliation for the US killing of the Iranian General Suleimani have forced Oxfam to suspend its humanitarian operations.",Police,Law Enforcement Forces of Islamic Republic of Iran,0.0,0.0,0.0,0.0,['Aid Operations'],['Ground-Launched'],,,,['weapons']
24129,2020-01-11T00:00:00.000Z,Syria,SYR,Idlib Governorate,35.6,36.6,January 2020: A LNGO centre was destroyed after Syrian regime military helicopters dropped two barrel bombs on its building. ,Other,Syrian Armed Forces,0.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,['weapons']
24131,2020-01-15,Syria,SYR,Idlib Governorate,35.9,36.6,January 2020: A male national LNGO volunteer was killed by missiles fired by Syrian regime warplanes.,Host Government: Military,Syrian Armed Forces,1.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,"['weapons', 'aid_workers']"
24132,2020-01-15,Syria,SYR,Idlib Governorate,35.6,36.5,January 2020: A national LNGO volunteer was injured by alleged Russian or Syrian regime warplanes.,Host Government: Military,Syrian or Russian Forces,0.0,1.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,"['weapons', 'aid_workers']"
24133,2020-01-23T00:00:00.000Z,Syria,SYR,Idlib Governorate,35.8,36.6,January 2020: A Syria Civil Defence ambulance was put out of service after it was bombed suspected Russian or Syrian warplanes. ,Other,Syrian or Russian Forces,0.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,['weapons']
24134,2020-01-25,Syria,SYR,Idlib Governorate,35.7,36.6,"January 2020: At least three LNGO volunteers were injured when a Russian warplane fired missiles at their centre, destroying the building and damaging a rescue vehicle.",Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,3.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,"['weapons', 'aid_workers']"
24135,2020-01-27,Syria,SYR,Aleppo Governorate,36.0,36.9,January 2020: An LNGO volunteer was wounded by missiles fired by Russian or Syrian regime warplanes.,Host Government: Military,Syrian or Russian Forces,0.0,1.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,"['weapons', 'aid_workers']"
24136,2020-01-27,Syria,SYR,Idlib Governorate,35.7,36.6,January 2020: An LNGO volunteer and four civilians were killed in a bombing by Russian warplanes.,Foreign Forces: Military,Armed Forces of the Russian Federation,1.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,"['weapons', 'aid_workers']"
24144,2020-01-28,Syria,SYR,Idlib Governorate,35.7,36.6,January 2020: An LNGO aid worker was killed by alleged Syrian or Russian rockets. ,Host Government: Military,Syrian Armed Forces,1.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Ground-Launched'],,,,"['weapons', 'aid_workers']"
24145,2020-01-28,Syria,SYR,Idlib Governorate,35.8,36.5,January 2020: An LNGO volunteer was killed and two other members were wounded by missiles fired by Syrian or Russian regime warplanes.,Host Government: Military,Syrian Armed Forces,1.0,2.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,"['weapons', 'aid_workers']"
24148,2020-01-29T00:00:00.000Z,Syria,SYR,Idlib Governorate,35.8,36.6,January 2020: A facility director and an aid worker were killed by multiple airstrikes after Russian warplanes hit a medical facility. At least a further six people were killed outside the medical facility and four nurses injured. The medical facility was heavily damaged and put out of service.              ,Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Health Care'],['Air-Launched: Plane'],,,,['weapons']
24168,2020-01-25T00:00:00.000Z,Libya,LBY,Tripoli,32.8,13.1,January 2020: Several civillians were wounded after Libyan National Army shells hit a clinic nearby.,NSA,Libyan National Army,0.0,0.0,0.0,0.0,['Health Care'],['Ground-Launched'],,,,['weapons']
24171,2020-01-08T00:00:00.000Z,Syria,SYR,Idlib Governorate,35.6,36.6,January 2020: A medical facility and its equipment were damaged after a Syrian regime missile launcher fired missiles nearby.,Other,Syrian Armed Forces,0.0,0.0,0.0,0.0,['Health Care'],['Ground-Launched'],,,,['weapons']
24172,2020-01-14T00:00:00.000Z,Syria,SYR,Aleppo Governorate,36.1,36.8,January 2020: A dispensary building and its equipment were severely damaged after an IED exploded nearby.,No Information,Unidentified Armed Actor,0.0,0.0,0.0,0.0,['Health Care'],['Directly-Emplaced'],,,,['weapons']
24173,2020-01-15T00:00:00.000Z,Syria,SYR,Idlib Governorate,35.9,36.6,January 2020: A Syria Civil Defence centre and its equipment was damaged by Syrian regime missiles.,Other,Syrian Armed Forces,0.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,['weapons']
24174,2020-01-15T00:00:00.000Z,Syria,SYR,Idlib Governorate,35.7,36.6,"January 2020: A LNGO centre along with its equipment, was damaged after Syrian regime helicopters dropped a barrel bomb nearby.",Other,Syrian Armed Forces,0.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,['weapons']
24175,2020-01-19T00:00:00.000Z,Syria,SYR,Daraa Governorate,32.8,36.3,January 2020: A doctor was killed in an IED explosion.,No Information,Unidentified Armed Actor,0.0,0.0,0.0,0.0,['Health Care'],['Directly-Emplaced'],,,,['weapons']
24176,2020-01-26T00:00:00.000Z,Syria,SYR,Idlib Governorate,35.5,36.9,January 2020: A medical facility and its equipment was damaged by as a result of  a direct hit by alleged Russian warplanes. The medical facility went out of service.,Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Health Care'],['Air-Launched: Plane'],,,,['weapons']
24183,2020-01-01T00:00:00.000Z,Yemen,YEM,Al Hudaydah Governorate,14.0,43.1,January 2020: A field medical facility was hit by artillery shells.,No Information,Unidentified Armed Actor,0.0,0.0,0.0,0.0,['Health Care'],['Ground-Launched'],,,,['weapons']
24185,2020-01-24T00:00:00.000Z,Yemen,YEM,Al Hudaydah Governorate,14.7,42.9,January 2020: A medical facility was hit by artillery shells.,No Information,Unidentified Armed Actor,0.0,0.0,0.0,0.0,['Health Care'],['Ground-Launched'],,,,['weapons']
24198,2020-02-03,DRC,COD,Ituri,1.6,29.2,"February 2020: A volunteer paramedic, his wife and their son were killed in a machete attack by ADF militia.",NSA,Allied Democratic Forces /National Army for the Liberation of Uganda,1.0,0.0,0.0,0.0,[],[],,,,['aid_workers']
24199,2020-02-28,Ethiopia,ETH,Amhara Region,12.6,37.4,February 2020: 15 aid workers were detained by Ethiopian authorities. All were released on bail 5 days later.,Police,Ethiopian Police,0.0,0.0,0.0,15.0,[],[],,,,['aid_workers']
24200,2020-02-02,Somalia,SOM,Gedo,2.4,41.4,February 2020: Three aid workers were abducted by al-Shabaab militants while delivering medical supplies in rural areas.,NSA,Al-Shabaab,0.0,0.0,3.0,0.0,[],[],,,,['aid_workers']
24201,2020-02-12,South Sudan,SSD,Jonglei,6.7,33.1,February 2020: A clearly marked INGO vehicle carrying four aid workers was involved in an accident that left one youth dead. Local youths who observed the accident reportedly shot and killed the driver in revenge. The three others escaped the scene on foot.,NSA,Unidentified armed actor,1.0,0.0,0.0,0.0,[],[],,,,['aid_workers']
24203,2020-02-25,South Sudan,SSD,Eastern Equatoria,4.7,33.5,February 2020: An INGO driver was sustained gunshot injuries to the leg when the INGO vehicle they were driving was ambushed and robbed by a group of unidentified armed men.,NSA,Unidentified armed actor,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24205,2020-02-21T00:00:00.000Z,Yemen,YEM,Al Hudaydah Governorate,14.6,43.0,February 2020: Headquarters were fired 20 times by pro-Houthi forces' artillery shells. No fatalities or injuries were reported.,NSA,Unidentified Armed Actor,0.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Ground-Launched'],,,,['weapons']
24208,2020-02-19,Syria,SYR,Daraa Governorate,32.8,36.1,"February 2020: An INGO vehicle was attacked by an unidentified armed group, killing two aid workers and wounding a volunteer.",NSA,Unidentified armed actor,2.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24209,2020-02-15,Syria,SYR,Aleppo Governorate,36.1,36.8,February 2020: An LNGO volunteer was injured by missiles fired by Russian warplanes while he was aiding victims.,Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,1.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,"['weapons', 'aid_workers']"
24210,2020-02-21T00:00:00.000Z,Syria,SYR,Idlib Governorate,35.9,36.7,February 2020: An LNGO building partially damged after it was fired at by Syrian regime warplanes.,Other,Syrian Armed Forces,0.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,['weapons']
24211,2020-02-23T00:00:00.000Z,Syria,SYR,Idlib Governorate,35.8,36.5,February 2020: An LNGO volunteer centre and its equipment damaged after Russian warplanes carried out four air strikes nearby.,Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,['weapons']
24212,2020-02-04T00:00:00.000Z,Syria,SYR,Idlib Governorate,36.0,36.7,February 2020: A medical facility was damaged and forced to close after a barrel bomb detonated 50 metres away.,Other,Syrian or Russian Forces,0.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,['weapons']
24213,2020-02-10T00:00:00.000Z,Syria,SYR,Idlib Governorate,35.6,36.6,February 2020: A primary health centre was force to close after it was bombed by airstrikes of an unidentified origin. ,No Information,Unidentified Armed Actor,0.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,['weapons']
24214,2020-02-20,Syria,SYR,Idlib Governorate,35.6,36.6,February 2020: An LNGO health worker was killed when an airstrike hit a primary health centre.,Host Government: Military,Syrian or Russian Forces,1.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,"['weapons', 'aid_workers']"
24215,2020-02-27,Syria,SYR,Idlib Governorate,35.8,36.6,February 2020: Two LNGO volunteers were injured in a shelling by Syrian regime forces.,Host Government: Military,Syrian Armed Forces,0.0,2.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Ground-Launched'],,,,"['weapons', 'aid_workers']"
24271,2020-03-07,DRC,COD,South Kivu,-4.3,28.9,March 202: An LNGO driver was kidnapped by unidentified perpetrators while he was travelling from Kazimia to Baraka. ,No Information,Unidentified armed actor,0.0,0.0,1.0,0.0,[],[],,,,['aid_workers']
24273,2020-03-02,South Sudan,SSD,Jonglei,7.1,32.6,March 2020: An INGO aid worker was killed and a driver injured when unidentified perpetrators - thought to be youths conducting cattle raids - fired their weapons towards their vehicle.,NSA,Unidentified armed actor,1.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24274,2020-03-29,South Sudan,SSD,Lakes,6.8,29.6,March 2020: A national administrator of a medical facility was reportedly killed in his home by an unidentified gunman.  ,NSA,Unidentified armed actor,1.0,0.0,0.0,0.0,[],[],,,,['aid_workers']
24275,2020-03-31,South Sudan,SSD,Jonglei,7.5,31.3,March 2020: A UN-contracted truck was ambushed by suspected Murle Tribesman while travelling from Pajut to Bor. The driver's assistant was shot and injured. ,NSA,Murle,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24276,2020-03-31,India,IND,Gujarat,22.2,70.7,March 2020: An LNGO aid worker was beaten by police officers while he was transporting the body of an old man - who had died from natural causes - to Gondal in an ambulance during the COVID-19 lockdown.,Police,India Police,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24277,2020-01-20,Iraq,IRQ,Baghdad Governorate,33.2,44.3,January 2020: Three French INGO aid workers and their Iraqi colleague were kidnapped before being released just over 2 months later unharmed. ,No Information,Unidentified armed actor,0.0,0.0,4.0,0.0,[],[],,,,['aid_workers']
24278,2020-03-02T00:00:00.000Z,Syria,SYR,Idlib Governorate,35.9,36.7,"March 2020: Warplanes believed to be Russian fired missiles near a Syrian Civil Defense (SCD) ambulance, severely damaging it. The ambulance was heading to the site of a previous bombing by the pro-Syrian government alliance. The Syrian regime and Russia have been found to repeatedly target healthcare facilities, workers and vehicles.",Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Plane'],,,,['weapons']
24279,2020-03-10,Syria,SYR,Aleppo Governorate,36.1,36.8,March 2020: A volunteer ambulance driver was shot during a raid by HTS on his brothers house.,NSA,Tahrir al-Sham,1.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24280,2020-03-14,Syria,SYR,Idlib Governorate,35.8,36.6,March 2020: Four volunteers were detained by unidentified armed men who broke into the volunteers base and damaged property. ,NSA,Unidentified armed actor,0.0,0.0,0.0,4.0,[],[],,,,['aid_workers']
24313,2020-03-19,Syria,SYR,Daraa Governorate,32.7,35.9,March 2020: A male UN staff member  was killed during an outbreak of violence.  ,No Information,Unidentified armed actor,1.0,0.0,0.0,0.0,[],[],,,,['aid_workers']
24314,2020-03-02,Yemen,YEM,Al Hudaydah Governorate,14.6,43.0,"March 2020: A UN-agency truck transporting relief supplies struck an IED allegedly planted by pro-Houthi forces and exploded, injuring the driver.",NSA,Shia al-Houthi rebels,0.0,1.0,0.0,0.0,['Aid Operations'],['Directly-Emplaced'],,,,"['weapons', 'aid_workers']"
24315,2020-03-20,Yemen,YEM,Aden Governorate,12.7,45.0,March 2020: Two volunteers were kidnapped by unidentified armed perpetrators who were later found dead.,No Information,Unidentified armed actor,2.0,0.0,2.0,0.0,[],[],,,,['aid_workers']
24320,2020-02-11,Syria,SYR,Idlib Governorate,35.6,36.6,February 2020: An LNGO worker was kidnapped by gunmen affiliated with Hurras al Din while riding his motorbike.,NSA,Unidentified armed actor,0.0,0.0,1.0,0.0,[],[],,,,['aid_workers']
24323,2020-04-03,CAR,CAF,Ouham,7.3,18.2,"April 2020: An NGO building was raided by anti-Balaka militants who stole communication equipment, electronics and cash, and stabbed two NGO guards. ",NSA,Anti-Balaka,0.0,2.0,0.0,0.0,[],[],,,,['aid_workers']
24324,2020-04-30,CAR,CAF,Ouham-Pendé,6.3,16.3,April 2020: An INGO national aid worker was physically assaulted by a group of armed young men in the central Bozoum market. ,NSA,Unidentified armed actor,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24325,2020-03-31,DRC,COD,South Kivu,-3.4,29.1,March 2020: Three INGO aid workers were kidnapped by Mai-Mai Mbulu men during an ambush. Their vehicle was also stolen. ,NSA,Mai Mai militia,0.0,0.0,3.0,0.0,[],[],,,,['aid_workers']
24326,2020-04-16,DRC,COD,South Kivu,-4.3,29.1,April 2020: Four INGO health workers were ambushed and kidnapped by unidentified armed perpetrators. They were released and two of the suspected kidnappers were detained.,NSA,Unidentified armed actor,0.0,0.0,4.0,0.0,[],[],,,,['aid_workers']
24328,2020-04-11,Mali,MLI,Timbuktu,15.7,-3.6,April 2020: Four LGNO aid workers were kidnapped by suspected JNIM militants. Their NGO vehicle was left behind.,NSA,Jama'at Nasr al-Islam wal Muslimin,0.0,0.0,4.0,0.0,[],[],,,,['aid_workers']
24329,2020-04-10,Somalia,SOM,Bay,3.0,43.8,April 2020: Two LNGO aid workers were ambushed and kidnapped by al Shabaab militants.,NSA,Al-Shabaab,0.0,0.0,2.0,0.0,[],[],,,,['aid_workers']
24330,2020-04-05,South Sudan,SSD,Jonglei,8.1,32.1,April 2020: An LNGO aid worker was fatally shot by unidentified armed men while he was walking along the road. ,NSA,Unidentified armed actor,1.0,0.0,0.0,0.0,[],[],,,,['aid_workers']
24331,2020-04-12,South Sudan,SSD,Jonglei,7.0,31.2,April 2020: An INGO aid worker was killed by a group of perpetrators who stole livestock from Pamot cattle camp.  ,NSA,Unidentified armed actor,1.0,0.0,0.0,0.0,[],[],,,,['aid_workers']
24334,2020-04-20,Myanmar,MMR,Rakhine,20.3,93.2,April 2020: A driver was killed and a worker was injured after a vehicle carrying COVID-19 testing samples came under gunfire.,NSA,Unidentified armed actor,1.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24335,2020-04-27,South Sudan,SSD,Eastern Equatoria,4.4,33.2,"April 2020: A UN-agency contracted truck carrying food items was ambushed and robbed, and a driver shot in the stomach by unknown armed men.",NSA,Unidentified armed actor,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24358,2020-05-30,Burkina Faso,BFA,Central-North,13.4,-1.0,May 2020: A volunteer ambulance driver and a nurse were killed after their vehicle carrying food was ambushed by gunmen. ,NSA,Unidentified armed actor,2.0,0.0,0.0,0.0,[],[],,,,['aid_workers']
24359,2020-05-14,CAR,CAF,Nana-Grébizi,6.8,19.1,May 2020: A male national LNGO driver was shot by an unidentified armed group in an ambush. He was transferred to hospital where he later died. Three other passengers were unharmed.  ,NSA,Unidentified armed actor,1.0,0.0,0.0,0.0,[],[],,,,['aid_workers']
24361,2020-05-20,CAR,CAF,Nana-Mambéré,5.7,15.3,"May 2020: An LNGO driver was ambushed, beaten and robbed by seven armed Fulani tribesmen. Cash, documents and personal valuables were stolen. ",NSA,Fulani herdsmen,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24376,2020-04-30,Mozambique,MOZ,Maputo Province,-25.9,32.4,April 2020: An LNGO aid worker was kidnapped in an ambush by four unidentified perpetrators. He was rescued 20 days later. ,NSA,Unidentified armed actor,0.0,0.0,1.0,0.0,[],[],,,,['aid_workers']
24378,2020-05-04T00:00:00.000Z,Somalia,SOM,Awdal,9.7,43.3,May 2020: Six people were killed after Ethiopian troops shot down a plane carrying aid and medical supplies to aid Somalia's fight against COVID-19. ,Foreign Forces: Military,Ethiopian National Defense Forces,0.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Ground-Launched'],,,,['weapons']
24411,2020-05-08,Somalia,SOM,Lower Juba,-0.3,42.5,May 2020: Three LNGO aid workers were kidnapped and their rented vehicle hijacked by al-Shabaab militants.,NSA,Al-Shabaab,0.0,0.0,3.0,0.0,[],[],,,,['aid_workers']
24483,2020-05-27,Somalia,SOM,Middle Shebelle,2.3,45.3,May 2020: Seven LNGO aid workers and a civilian were executed after being  kidnapped by unidentified masked perpetrators from a health facility.,NSA,Unidentified armed actor,7.0,0.0,7.0,0.0,[],[],,,,['aid_workers']
24489,2020-05-07,South Sudan,SSD,Unity,9.2,29.8,May 2020: A male UN aid worker was assaulted with a spear by an unidentified perpetrator who broke into his home in the Bentiu PoC.,NSA,Unidentified armed actor,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24497,2020-05-09,South Sudan,SSD,Central Equatoria,4.8,31.5,May 2020: An INGO security guard was held at gunpoint and beaten by a group of unknown intruders.,NSA,Unidentified armed actor,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24498,2020-05-16,South Sudan,SSD,Jonglei,8.0,32.0,May 2020: An INGO aid worker and a volunteer nurse were killed during inter-communal violence. Two other aid workers were injured. ,NSA,Murle,3.0,5.0,0.0,0.0,[],[],,,,['aid_workers']
24499,2020-05-31,South Sudan,SSD,Lakes,6.2,31.0,"May 2020: An LNGO vehicle was ambushed by gunmen who demanded money but as the staff refused, the attackers shot the driver in the hand. ",NSA,Unidentified armed actor,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24500,2020-05-09,Sudan,SDN,South Kordofan State,11.0,29.7,May 2020: A Sudanese UN aid worker was shot and injured as he tried to intervene in a robbery near his home. ,Criminal,Criminal,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24501,2020-05-29,Myanmar,MMR,Chin,21.2,92.9,May 2020: A WFP-contracted driver sustained gunshot injuries when unidentified perpetrators ambushed between three and five trucks.,NSA,Unidentified armed actor,0.0,1.0,0.0,0.0,[],[],,,,['aid_workers']
24506,2020-05-14,Turkey,TUR,Eastern Anatolia Region,38.6,43.9,May 2020: Two LNGO aid workers were shot and killed when the vehicle they were travelling in was shot at by suspected PKK militants.,NSA,Kurdistan Workers' Party,2.0,0.0,0.0,0.0,[],[],,,,['aid_workers']
24531,2020-05-25,CAR,CAF,Ouham,7.3,18.3,May 2020: Six INGO aid workers returning from a cash work activity were kidnapped by suspected armed Fulani tribesmen. ,NSA,Fulani herdsmen,0.0,0.0,6.0,0.0,[],[],,,,['aid_workers']
24813,2020-06-24,Burkina Faso,BFA,Sahel,13.8,-1.7,"June 2020: An INGO truck loaded with aid intended for IDPs was ambushed by around 20 JNIM militants. The Togolese driver and his apprentice were detained and released, along with the vehicle after supplies were stolen from inside.  ",NSA,Jama'at Nasr al-Islam wal Muslimin,0.0,0.0,0.0,2.0,[],[],,,,['aid_workers']
24814,2020-06-28,DRC,COD,South Kivu,-4.6,28.6,June 2020: An INGO aid worker was kidnapped by four unidentified armed men who demanded a ransom for the hostage's release.,NSA,Unidentified armed actor,0.0,0.0,1.0,0.0,[],[],,,,['aid_workers']
