SiND Event ID,Date,Country,Country ISO,Admin 1,Latitude,Longitude,Event Description,Reported Perpetrator,Reported Perpetrator Name,Aid Workers Killed,Aid Workers Injured,Aid Workers Kidnapped,Aid Workers Arrested,Sector Affected,Launch Type,Type of SV,Survivor Or Victim Sex,Adult or Minor ,dataset
43163,2023-12-16T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"December 2023: Israeli forces struck a religious association's building in the morning, killing six Palestinians and injuring many others. Some 250 IDPs were sheltering in the premises at the time. ",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,"['Protection', 'Aid Operations']",['Air-Launched: Plane'],,,,['weapons']
43172,2024-01-01T00:00:00.000Z,Ukraine,UKR,Lviv Oblast,49.9,24.0,"01 January 2024: A medical facility, a chapel and houses were damaged by ten Russian drone strikes.",Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Health Care'],['Air-Launched: Drone'],,,,['weapons']
43176,2023-12-12,Cameroon,CMR,Northwest,6.6,10.0,,NSA,Ambazonian Separatists,0.0,0.0,0.0,0.0,[],[],StrippedNaked/TornClothes,"Male, Unclear","Minor, Adult, ",['crsv']
43180,2023-12-15T00:00:00.000Z,Kenya,KEN,Garissa,-0.1,39.8,"December 2023: Four health officials were killed and two others injured when an IED planted by Al-Shabaab detonated, hitting the four-wheel drive car they were travelling in. The vehicle was also damaged. The health team were conducting the Garissa County TB exercise when the incident happened.",NSA,Al-Shabaab,0.0,0.0,0.0,0.0,['Health Care'],['Directly-Emplaced'],,,,['weapons']
43187,2024-01-06T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"06 January 2024: Two sisters - a doctor and a dentist - and their father, a doctor, were killed when Israeli airstrikes hit the house which they were sheltering in.",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Health Care'],['Air-Launched: Plane'],,,,['weapons']
43188,2024-01-06T00:00:00.000Z,OPT,PSE,Gaza Strip,,,06 January 2024: A doctor was injured and his granddaughter killed when Israeli airstrikes hit the house they were sheltering in. ,Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Health Care'],['Air-Launched: Plane'],,,,['weapons']
43193,2024-01-08T00:00:00.000Z,OPT,PSE,Gaza Strip,,,08 January 2024: An Israeli drone opened fire in the courtyard of ta medical facility.,Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Health Care'],['Air-Launched: Drone'],,,,['weapons']
43194,2024-01-08T00:00:00.000Z,OPT,PSE,Gaza Strip,,,08 January 2024: Israeli airstrikes were reported in the vicinity of a health facility.,Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Health Care'],['Air-Launched: Plane'],,,,['weapons']
43195,2024-01-07T00:00:00.000Z,OPT,PSE,Gaza Strip,,,07 January 2024: An Israeli airstrike was reported in the vicinity of a medical facility. ,Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Health Care'],['Air-Launched: Drone'],,,,['weapons']
43198,2023-12-04,Mexico,MEX,Sinaloa,25.5,-108.4,,NSA,Unidentified Armed Actor,0.0,0.0,0.0,0.0,[],[],StrippedNaked/TornClothes,Unclear,"Minor, ",['crsv']
43200,2023-12-13T00:00:00.000Z,OPT,PSE,Gaza Strip,,,13 December 2023: A school that was being used as a shelter by IDPs was struck at about 21:00. Six Palestinians were reportedly killed and tens were injured. ,Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Education'],['Air-Launched: Plane'],,,,['weapons']
43202,2023-10-24T00:00:00.000Z,Syria,SYR,Idlib Governorate,35.8,36.3,"October 2023: In an unnamed IDP camp, a woman and two of her children were killed and eight were injured when the camp was hit by Russian airstrikes.",Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Protection'],['Air-Launched: Plane'],,,,['weapons']
